id_pedido,data,categoria,preco_unitario,quantidade,regiao,forma_pagamento,valor_total
4303,2024-01-19,Moda,243.59,1,Sudeste,Cartão de Crédito,243.59
240,2024-01-19,Eletrônicos,956.54,3,Nordeste,Cartão de Crédito,2869.62
825,2024-01-19,Beleza,93.5,4,Sudeste,Pix,374.0
4112,2024-01-20,Livros,81.6,2,Nordeste,Cartão de Crédito,163.2
3666,2024-01-20,Esporte e Lazer,306.52,1,Sudeste,Cartão de Crédito,306.52
4985,2024-01-20,Beleza,189.37,2,Sudeste,Pix,378.74
3023,2024-01-20,Casa e Decoração,127.77,1,Nordeste,Cartão de Débito,127.77
4797,2024-01-20,Livros,72.94,4,Sudeste,Cartão de Crédito,291.76
3152,2024-01-20,Eletrônicos,1217.77,1,Sudeste,Cartão de Crédito,1217.77
4714,2024-01-20,Moda,161.22,3,Sul,Cartão de Crédito,483.66
4852,2024-01-21,Casa e Decoração,492.7,1,Sudeste,Cartão de Crédito,492.7
694,2024-01-21,Casa e Decoração,193.73,1,Sudeste,Boleto,193.73
1675,2024-01-21,Esporte e Lazer,204.01,1,Centro-Oeste,Pix,204.01
3101,2024-01-21,Casa e Decoração,203.24,2,Sudeste,Boleto,406.48
1583,2024-01-21,Esporte e Lazer,265.26,1,Sul,Cartão de Crédito,265.26
836,2024-01-21,Beleza,105.06,2,Nordeste,Cartão de Crédito,210.12
12,2024-01-21,Casa e Decoração,447.57,1,Sudeste,Pix,447.57
2886,2024-01-22,Casa e Decoração,415.65,1,Sudeste,Cartão de Crédito,415.65
1810,2024-01-22,Casa e Decoração,123.14,3,Nordeste,Boleto,369.42
1079,2024-01-22,Beleza,222.1,4,Nordeste,Cartão de Crédito,888.4
4690,2024-01-22,Livros,57.87,4,Sul,Cartão de Crédito,231.48
894,2024-01-22,Moda,51.05,2,Sudeste,Cartão de Débito,102.1
1548,2024-01-22,Moda,164.88,2,Sudeste,Boleto,329.76
64,2024-01-22,Esporte e Lazer,239.67,1,Sul,Pix,239.67
1062,2024-01-22,Eletrônicos,1630.15,3,Sul,Cartão de Crédito,4890.45
4153,2024-01-23,Esporte e Lazer,105.48,4,Sudeste,Cartão de Crédito,421.92
2339,2024-01-23,Livros,46.29,1,Nordeste,Cartão de Débito,46.29
4753,2024-01-23,Casa e Decoração,136.63,2,Sudeste,Cartão de Crédito,273.26
4341,2024-01-23,Beleza,114.37,2,Nordeste,Pix,228.74
414,2024-01-23,Eletrônicos,1328.92,2,Nordeste,Cartão de Débito,2657.84
1894,2024-01-23,Casa e Decoração,695.8,1,Nordeste,Pix,695.8
4059,2024-01-23,Livros,66.78,3,Sul,Pix,200.34
963,2024-01-23,Livros,47.63,4,Sudeste,Boleto,190.52
1203,2024-01-24,Casa e Decoração,101.91,1,Nordeste,Cartão de Crédito,101.91
3670,2024-01-25,Esporte e Lazer,439.47,2,Centro-Oeste,Cartão de Crédito,878.94
443,2024-01-25,Livros,40.93,2,Centro-Oeste,Cartão de Débito,81.86
224,2024-01-25,Livros,59.44,1,Sudeste,Cartão de Crédito,59.44
4814,2024-01-25,Casa e Decoração,67.15,2,Sul,Pix,134.3
1294,2024-01-25,Moda,177.71,1,Nordeste,Boleto,177.71
3292,2024-01-25,Esporte e Lazer,163.7,3,Sudeste,Cartão de Débito,491.1
4592,2024-01-26,Casa e Decoração,54.42,1,Sul,Cartão de Débito,54.42
1765,2024-01-26,Casa e Decoração,313.04,1,Nordeste,Cartão de Crédito,313.04
2412,2024-01-26,Esporte e Lazer,184.62,3,Sudeste,Cartão de Débito,553.86
4599,2024-01-26,Casa e Decoração,396.92,1,Centro-Oeste,Cartão de Crédito,396.92
932,2024-01-26,Casa e Decoração,66.56,1,Sudeste,Cartão de Crédito,66.56
2619,2024-01-27,Moda,105.83,2,Sudeste,Pix,211.66
3014,2024-01-27,Esporte e Lazer,470.85,2,Sul,Pix,941.7
1761,2024-01-27,Beleza,39.38,3,Centro-Oeste,Cartão de Crédito,118.14
2777,2024-01-27,Casa e Decoração,78.77,2,Centro-Oeste,Pix,157.54
309,2024-01-28,Casa e Decoração,152.31,1,Nordeste,Pix,152.31
4586,2024-01-28,Esporte e Lazer,461.75,3,Sudeste,Cartão de Crédito,1385.25
4106,2024-01-28,Casa e Decoração,228.69,2,Sudeste,Cartão de Crédito,457.38
3972,2024-01-28,Casa e Decoração,36.82,2,Nordeste,Cartão de Crédito,73.64
3691,2024-01-28,Eletrônicos,807.15,1,Nordeste,Boleto,807.15
2189,2024-01-28,Casa e Decoração,465.31,1,Sul,Pix,465.31
2744,2024-01-28,Livros,91.85,1,Nordeste,Cartão de Crédito,91.85
4809,2024-01-29,Beleza,32.64,4,Sudeste,Cartão de Crédito,130.56
2714,2024-01-29,Eletrônicos,2868.26,3,Norte,Pix,8604.78
1680,2024-01-29,Casa e Decoração,309.0,2,Sudeste,Pix,618.0
2504,2024-01-29,Eletrônicos,772.53,4,Sudeste,Pix,3090.12
3205,2024-01-29,Esporte e Lazer,62.41,1,Nordeste,Pix,62.41
2515,2024-01-29,Beleza,101.42,1,Sudeste,Pix,101.42
532,2024-01-29,Beleza,115.6,4,Sudeste,Cartão de Crédito,462.4
3294,2024-01-30,Esporte e Lazer,206.25,1,Nordeste,Cartão de Crédito,206.25
4308,2024-01-30,Beleza,89.97,2,Centro-Oeste,,179.94
2725,2024-01-30,Livros,40.77,1,Sudeste,Boleto,40.77
1442,2024-01-31,Casa e Decoração,443.79,1,Sudeste,Boleto,443.79
2948,2024-01-31,Beleza,80.28,1,Centro-Oeste,Cartão de Crédito,80.28
4316,2024-01-31,Eletrônicos,439.78,3,Sudeste,Cartão de Crédito,1319.34
4142,2024-01-31,Livros,92.62,2,Nordeste,Pix,185.24
854,2024-02-01,Eletrônicos,1866.28,2,Nordeste,Pix,3732.56
3123,2024-02-01,Casa e Decoração,537.98,2,Nordeste,Pix,1075.96
3569,2024-02-02,Casa e Decoração,33.21,1,Sudeste,Boleto,33.21
567,2024-02-02,Esporte e Lazer,125.34,1,Nordeste,Cartão de Crédito,125.34
3538,2024-02-02,Moda,138.84,3,Sudeste,Cartão de Crédito,416.52
1475,2024-02-03,Eletrônicos,2122.18,1,Sul,Cartão de Crédito,2122.18
1280,2024-02-03,Casa e Decoração,58.07,1,Sudeste,Cartão de Crédito,58.07
2354,2024-02-03,Moda,120.89,3,Sul,Pix,362.67
1254,2024-02-04,Moda,195.26,4,Sudeste,Cartão de Crédito,781.04
2093,2024-02-04,Eletrônicos,1001.75,2,Sul,Boleto,2003.5
4322,2024-02-04,Esporte e Lazer,78.63,3,Nordeste,Pix,235.89
4961,2024-02-04,Beleza,73.99,1,Sudeste,Cartão de Crédito,73.99
16,2024-02-04,Casa e Decoração,675.44,2,Sudeste,Pix,1350.88
4447,2024-02-04,Casa e Decoração,285.58,2,Sudeste,Cartão de Crédito,571.16
2932,2024-02-04,Esporte e Lazer,221.9,2,Sudeste,Cartão de Crédito,443.8
92,2024-02-05,Esporte e Lazer,144.13,1,Sudeste,Cartão de Crédito,144.13
1163,2024-02-05,Livros,28.08,1,Nordeste,Cartão de Crédito,28.08
46,2024-02-05,Casa e Decoração,398.57,2,Sul,Cartão de Crédito,797.14
1168,2024-02-05,Casa e Decoração,771.32,1,Norte,Pix,771.32
4910,2024-02-06,Eletrônicos,1418.22,2,Sudeste,Cartão de Crédito,2836.44
1636,2024-02-06,Livros,99.13,4,Nordeste,Boleto,396.52
4145,2024-02-06,Eletrônicos,2020.22,1,Norte,Cartão de Crédito,2020.22
1451,2024-02-06,Beleza,127.2,1,Sudeste,Cartão de Crédito,127.2
3291,2024-02-06,Esporte e Lazer,116.94,2,Centro-Oeste,Cartão de Crédito,233.88
718,2024-02-07,Eletrônicos,334.55,2,Nordeste,Cartão de Crédito,669.1
3550,2024-02-07,Esporte e Lazer,460.48,3,Sudeste,Cartão de Crédito,1381.44
2708,2024-02-07,Esporte e Lazer,113.07,1,Sudeste,Cartão de Crédito,113.07
4053,2024-02-08,Casa e Decoração,68.09,2,Sudeste,Cartão de Crédito,136.18
1955,2024-02-08,Esporte e Lazer,371.75,1,Nordeste,Cartão de Crédito,371.75
3223,2024-02-08,Esporte e Lazer,205.92,1,Sudeste,Cartão de Crédito,205.92
3212,2024-02-08,Beleza,221.91,2,Nordeste,Pix,443.82
2101,2024-02-08,Moda,188.89,2,Sul,Pix,377.78
686,2024-02-08,Esporte e Lazer,56.1,1,Nordeste,Cartão de Crédito,56.1
741,2024-02-08,Esporte e Lazer,39.66,3,Sudeste,Boleto,118.98
1011,2024-02-08,Casa e Decoração,78.82,2,Sudeste,Cartão de Crédito,157.64
227,2024-02-08,Beleza,153.73,2,Nordeste,Pix,307.46
1371,2024-02-08,Livros,33.37,2,Nordeste,Cartão de Crédito,66.74
2604,2024-02-08,Moda,59.08,1,Centro-Oeste,Pix,59.08
2678,2024-02-08,Eletrônicos,834.08,1,Norte,Cartão de Crédito,834.08
18,2024-02-09,Livros,30.61,1,Norte,Pix,30.61
228,2024-02-09,Casa e Decoração,354.96,1,Centro-Oeste,Pix,354.96
2017,2024-02-09,Moda,268.64,1,Nordeste,Pix,268.64
1720,2024-02-09,Esporte e Lazer,354.31,2,Sudeste,Cartão de Crédito,708.62
3148,2024-02-09,Eletrônicos,236.67,4,Sul,Cartão de Crédito,946.68
2147,2024-02-09,Esporte e Lazer,30.59,3,Sudeste,Cartão de Débito,91.77
4324,2024-02-10,Esporte e Lazer,181.52,2,Sudeste,Pix,363.04
4516,2024-02-10,Livros,55.02,2,Sul,Cartão de Crédito,110.04
4760,2024-02-10,Beleza,68.44,3,Sudeste,Pix,205.32
2439,2024-02-10,Eletrônicos,239.47,1,Centro-Oeste,Cartão de Crédito,239.47
3729,2024-02-10,Eletrônicos,805.2,2,Sudeste,Boleto,1610.4
1869,2024-02-10,Eletrônicos,245.58,2,Sudeste,Pix,491.16
101,2024-02-10,Esporte e Lazer,237.65,3,Norte,Cartão de Crédito,712.95
4464,2024-02-10,Beleza,19.57,1,Sudeste,Cartão de Crédito,19.57
4793,2024-02-10,Eletrônicos,1501.71,2,Nordeste,Cartão de Crédito,3003.42
3720,2024-02-11,Beleza,42.94,4,Norte,Pix,171.76
1427,2024-02-11,Beleza,47.88,4,Sudeste,Cartão de Crédito,191.52
2225,2024-02-11,Esporte e Lazer,279.87,2,Sudeste,Cartão de Crédito,559.74
370,2024-02-11,Livros,26.26,2,Sudeste,Cartão de Crédito,52.52
1739,2024-02-11,Casa e Decoração,299.38,3,Norte,,898.14
3397,2024-02-12,Livros,54.69,1,Sudeste,Boleto,54.69
212,2024-02-12,Casa e Decoração,404.39,3,Norte,Cartão de Crédito,1213.17
3874,2024-02-12,Esporte e Lazer,257.42,1,Sul,Cartão de Débito,257.42
1365,2024-02-12,Livros,29.85,1,Sudeste,Cartão de Crédito,29.85
806,2024-02-12,Esporte e Lazer,65.31,1,Sudeste,Cartão de Crédito,65.31
935,2024-02-12,Beleza,105.41,4,Sudeste,Cartão de Débito,421.64
3583,2024-02-13,Casa e Decoração,249.21,1,Sudeste,Cartão de Crédito,249.21
1490,2024-02-13,Eletrônicos,1118.97,2,Sudeste,Cartão de Crédito,2237.94
2429,2024-02-13,Eletrônicos,2209.22,2,Sudeste,Cartão de Crédito,4418.44
4416,2024-02-14,Moda,181.5,3,Centro-Oeste,Pix,544.5
1138,2024-02-15,Moda,200.64,4,Sul,Cartão de Crédito,802.56
4615,2024-02-15,Casa e Decoração,663.5,1,Nordeste,Cartão de Crédito,663.5
2494,2024-02-15,Moda,370.0,3,Sul,Cartão de Crédito,1110.0
713,2024-02-15,Livros,48.29,1,Sudeste,Cartão de Crédito,48.29
403,2024-02-16,Livros,59.35,1,Norte,Boleto,59.35
3081,2024-02-16,Moda,91.54,1,Sudeste,Cartão de Crédito,91.54
2931,2024-02-16,Beleza,61.95,1,Nordeste,Cartão de Crédito,61.95
3018,2024-02-16,Esporte e Lazer,196.13,1,Sul,Pix,196.13
831,2024-02-16,Esporte e Lazer,92.61,2,Sul,Pix,185.22
3820,2024-02-16,Eletrônicos,1433.84,1,Nordeste,Cartão de Crédito,1433.84
1859,2024-02-16,Beleza,89.7,3,Centro-Oeste,Cartão de Crédito,269.1
451,2024-02-16,Livros,41.57,1,Sul,Cartão de Crédito,41.57
1702,2024-02-16,Moda,130.62,4,Nordeste,Cartão de Crédito,522.48
1771,2024-02-17,Beleza,117.39,1,Centro-Oeste,Pix,117.39
2680,2024-02-17,Eletrônicos,291.49,1,Nordeste,Cartão de Crédito,291.49
4243,2024-02-17,Livros,77.71,4,Sudeste,Cartão de Crédito,310.84
3704,2024-02-18,Eletrônicos,2391.62,1,Sul,Cartão de Crédito,2391.62
2579,2024-02-18,Casa e Decoração,95.92,2,Sudeste,Pix,191.84
993,2024-02-18,Eletrônicos,366.96,2,Norte,Pix,733.92
3596,2024-02-18,Livros,58.21,4,Sul,Cartão de Débito,232.84
3241,2024-02-18,Casa e Decoração,66.21,1,Sudeste,Cartão de Crédito,66.21
438,2024-02-18,Casa e Decoração,165.4,1,Sudeste,Pix,165.4
1418,2024-02-19,Moda,59.0,2,Sul,Cartão de Crédito,118.0
2778,2024-02-19,Livros,46.1,1,Nordeste,Cartão de Crédito,46.1
3266,2024-02-20,Eletrônicos,2804.09,1,Centro-Oeste,Pix,2804.09
2524,2024-02-20,Esporte e Lazer,159.56,1,Centro-Oeste,Cartão de Crédito,159.56
2966,2024-02-20,Eletrônicos,618.16,1,Centro-Oeste,Cartão de Crédito,618.16
4932,2024-02-20,Beleza,34.27,1,Sudeste,Cartão de Crédito,34.27
1527,2024-02-20,Eletrônicos,1103.69,3,Sul,Cartão de Crédito,3311.07
3051,2024-02-20,Livros,32.28,2,Sul,Cartão de Crédito,64.56
1630,2024-02-22,Eletrônicos,1275.29,1,Nordeste,Cartão de Crédito,1275.29
277,2024-02-22,Eletrônicos,1647.28,1,Centro-Oeste,Cartão de Crédito,1647.28
358,2024-02-22,Moda,290.08,1,Nordeste,Cartão de Crédito,290.08
432,2024-02-22,Eletrônicos,2738.34,1,Sul,Pix,2738.34
2809,2024-02-22,Moda,334.69,4,Sul,Pix,1338.76
2493,2024-02-22,Casa e Decoração,185.7,1,Norte,Boleto,185.7
3407,2024-02-22,Moda,355.58,1,Norte,Cartão de Crédito,355.58
842,2024-02-22,Beleza,105.87,2,Sudeste,Boleto,211.74
4179,2024-02-23,Esporte e Lazer,517.44,3,Centro-Oeste,Cartão de Crédito,1552.32
4287,2024-02-23,Esporte e Lazer,237.06,3,Sul,Boleto,711.18
3699,2024-02-23,Livros,30.61,3,Centro-Oeste,Cartão de Crédito,91.83
344,2024-02-23,Beleza,87.91,3,Sudeste,Cartão de Crédito,263.73
4832,2024-02-23,Esporte e Lazer,318.28,4,Sudeste,Cartão de Crédito,1273.12
2235,2024-02-24,Casa e Decoração,412.54,1,Sudeste,Cartão de Crédito,412.54
945,2024-02-24,Eletrônicos,453.3,4,Sudeste,Cartão de Crédito,1813.2
3664,2024-02-24,Casa e Decoração,494.76,1,Nordeste,Cartão de Crédito,494.76
1543,2024-02-24,Beleza,199.23,3,Sudeste,Boleto,597.69
4874,2024-02-24,Esporte e Lazer,409.45,4,Sul,Boleto,1637.8
3866,2024-02-25,Moda,56.32,1,Sul,Pix,56.32
2045,2024-02-25,Casa e Decoração,447.99,1,Sul,Cartão de Débito,447.99
689,2024-02-25,Eletrônicos,394.49,2,Nordeste,Pix,788.98
74,2024-02-26,Esporte e Lazer,173.51,1,Nordeste,Cartão de Crédito,173.51
4263,2024-02-26,Eletrônicos,319.76,4,Sudeste,Cartão de Crédito,1279.04
3736,2024-02-26,Eletrônicos,1582.05,2,Centro-Oeste,Boleto,3164.1
4575,2024-02-27,Beleza,95.75,1,Norte,Cartão de Crédito,95.75
4002,2024-02-27,Eletrônicos,1506.87,3,Sul,Cartão de Crédito,4520.61
4161,2024-02-27,Moda,105.43,3,Sudeste,Cartão de Crédito,316.29
4974,2024-02-27,Moda,72.48,1,Sudeste,Cartão de Débito,72.48
2588,2024-02-27,Beleza,32.68,4,Sudeste,Cartão de Crédito,130.72
3696,2024-02-27,Esporte e Lazer,177.17,1,Sul,Pix,177.17
1511,2024-02-28,Esporte e Lazer,244.77,1,Sudeste,Cartão de Crédito,244.77
359,2024-02-28,Eletrônicos,597.29,1,Centro-Oeste,Cartão de Crédito,597.29
1217,2024-02-28,Livros,59.1,1,Sudeste,Cartão de Crédito,59.1
1963,2024-02-28,Eletrônicos,1060.6,2,Sudeste,Pix,2121.2
775,2024-02-28,Livros,56.07,2,Norte,Pix,112.14
28,2024-02-28,Eletrônicos,642.45,1,Nordeste,Pix,642.45
2842,2024-02-29,Esporte e Lazer,284.32,2,Nordeste,Cartão de Crédito,568.64
271,2024-02-29,Moda,58.57,3,Sul,Pix,175.71
1906,2024-02-29,Beleza,182.1,2,Sudeste,Pix,364.2
968,2024-02-29,Livros,26.77,3,Sul,Cartão de Crédito,80.31
4689,2024-03-01,Livros,37.38,1,Sudeste,Pix,37.38
3027,2024-03-01,Eletrônicos,1315.45,2,Sudeste,Pix,2630.9
1258,2024-03-01,Casa e Decoração,187.01,2,Norte,Pix,374.02
198,2024-03-02,Livros,31.9,1,Sudeste,Cartão de Crédito,31.9
4576,2024-03-02,Casa e Decoração,154.5,4,Norte,Cartão de Crédito,618.0
1649,2024-03-02,Eletrônicos,659.94,1,Nordeste,Pix,659.94
82,2024-03-02,Casa e Decoração,108.98,2,Nordeste,Pix,217.96
1696,2024-03-03,Moda,279.69,4,Centro-Oeste,Cartão de Crédito,1118.76
2529,2024-03-03,Moda,47.69,2,Sudeste,Cartão de Débito,95.38
3798,2024-03-03,Esporte e Lazer,394.3,1,Norte,Boleto,394.3
3501,2024-03-03,Beleza,91.67,2,Sul,Pix,183.34
4954,2024-03-03,Esporte e Lazer,455.99,3,Sudeste,Pix,1367.97
4918,2024-03-03,Moda,55.08,4,Nordeste,Pix,220.32
1221,2024-03-03,Esporte e Lazer,132.53,4,Sudeste,Cartão de Crédito,530.12
4353,2024-03-04,Beleza,43.14,3,Sudeste,Pix,129.42
2137,2024-03-04,Eletrônicos,475.52,1,Sudeste,Cartão de Crédito,475.52
308,2024-03-05,Livros,45.79,1,Sudeste,Cartão de Crédito,45.79
3342,2024-03-05,Beleza,82.94,2,Sul,Cartão de Crédito,165.88
2707,2024-03-05,Eletrônicos,818.83,1,Sudeste,Pix,818.83
3857,2024-03-05,Esporte e Lazer,72.44,1,Nordeste,Cartão de Crédito,72.44
1486,2024-03-05,Moda,301.9,1,Centro-Oeste,Pix,301.9
2870,2024-03-05,Moda,189.41,4,Centro-Oeste,Pix,757.64
2771,2024-03-05,Moda,86.75,4,Sul,Pix,347.0
3557,2024-03-06,Eletrônicos,2930.71,2,Sul,Cartão de Crédito,5861.42
959,2024-03-06,Livros,52.06,3,Centro-Oeste,Pix,156.18
3226,2024-03-06,Eletrônicos,641.83,1,Sudeste,Cartão de Crédito,641.83
2810,2024-03-06,Esporte e Lazer,201.9,4,Nordeste,Pix,807.6
2629,2024-03-06,Beleza,79.96,4,Nordeste,Pix,319.84
4338,2024-03-06,Casa e Decoração,392.96,1,Sul,Pix,392.96
1920,2024-03-07,Moda,122.95,1,Sul,Cartão de Crédito,122.95
1958,2024-03-07,Casa e Decoração,406.7,2,Sudeste,Cartão de Débito,813.4
